date,bndes_tjlp,obs_bndes_tlp,ntnb_5yr_yield,cpi_ipca,alpha,ntnb_5yr_yield_ma,est_bndes_tlp,obs_tlp_ipca,bndes_rate,us_treasury_yield,cds_brazil,solar_capacity_ratio,technology_premium,pre_tax_cost_of_debt,cost_of_debt,erp_sp500,cost_of_equity,debt_share,cost_of_capital,selic_target_rate,10yr_bloomberg_yield,yr10_gov_bond_yield,brl_5yr_bloomberg
01 February 2017,7.5,,5.34,4.76,,,,,7.5,2.39,5.11,0.0832636,3.24583682,10.74583682,7.092252301,5.59,16.33583682,0.6,10.78968611,12.25,4.82,10.25,5.34
01 March 2017,7.5,,5.3,4.57,,,,,7.5,2.387,5.113,0.0863031,3.245684845,10.74568485,7.092151998,5.39,16.13568485,0.6,10.70956514,12.25,4.77,10.11,5.3
01 April 2017,7,,5.39,4.08,,,,,7,2.28,4.72,0.0901488,3.24549256,10.24549256,6.76202509,5.38,15.62549256,0.6,10.30741208,11.25,4.64,10.32,5.39
01 May 2017,7,,5.63,3.6,,,,,7,2.203,4.797,0.094259,3.24528705,10.24528705,6.761889453,5.34,15.58528705,0.6,10.29124849,10.25,4.76,10.74,5.63
01 June 2017,7,,5.67,3,,,,,7,2.304,4.696,0.1005982,3.24497009,10.24497009,6.761680259,5.29,15.53497009,0.6,10.27099619,10.25,4.85,10.53,5.67
01 July 2017,7,,5.09,2.71,,,,,7,2.294,4.706,0.1815657,3.240921715,10.24092171,6.759008332,5.13,15.37092171,0.6,10.20377369,9.25,4.6,10.02,5.09
01 August 2017,7,,4.96,2.46,,,,,7,2.117,4.883,0.1868199,3.240659005,10.24065901,6.758834943,5.03,15.27065901,0.6,10.16356457,9.25,4.41,9.96,4.96
01 September 2017,7,,4.81,2.54,,,,,7,2.334,4.666,0.2129631,3.239351845,10.23935185,6.757972218,5.04,15.27935184,0.6,10.16652407,8.25,4.41,9.75,4.81
01 October 2017,7,,4.98,2.7,,,,,7,2.379,4.621,0.3352984,3.23323508,10.23323508,6.753935153,4.92,15.15323508,0.6,10.11365512,7.5,4.68,9.9,4.98
01 November 2017,7,,5.15,2.8,,,,,7,2.41,4.59,0.3644794,3.23177603,10.23177603,6.75297218,4.81,15.04177603,0.6,10.06849372,7.5,4.67,10.39,5.15
01 December 2017,7,,5.09,2.95,,,,,7,2.405,4.595,0.4091533,3.229542335,10.22954234,6.751497941,4.68,14.90954234,0.6,10.0147157,7,4.52,10.27,5.09
01 January 2018,,2.7,4.67,2.86,0.57,5.073333333,2.8918,5.65,5.65,2.705,2.945,0.7397006,3.21301497,8.86301497,5.84958988,5.08,13.94301497,0.6,9.086959916,7,4.68,9.72,4.67
01 February 2018,,2.74,4.74,2.84,0.57,4.97,2.8329,5.6,5.6,2.861,2.739,0.7519258,3.21240371,8.81240371,5.816186449,4.78,13.59240371,0.6,8.926673353,6.75,4.8,9.62,4.74
01 March 2018,,2.71,4.64,2.68,0.57,4.833333333,2.755,5.55,5.55,2.739,2.811,0.8042688,3.20978656,8.75978656,5.78145913,4.96,13.71978656,0.6,8.956790102,6.5,4.87,9.46,4.64
01 April 2018,,2.62,4.69,2.76,0.57,4.683333333,2.6695,5.3,5.3,2.953,2.347,0.8854026,3.20572987,8.50572987,5.613781714,5.19,13.69572987,0.6,8.846560977,6.5,5.08,9.67,4.69
01 May 2018,,2.55,5.4,2.86,0.57,4.69,2.6733,5.31,5.31,2.859,2.451,0.9338506,3.20330747,8.51330747,5.61878293,5.16,13.67330747,0.6,8.840592746,6.5,5.59,11.22,5.4
01 June 2018,,2.58,5.75,4.39,0.57,4.91,2.7987,5.44,5.44,2.86,2.58,0.9986477,3.200067615,8.640067615,5.702444626,5.06,13.70006762,0.6,8.901493822,6.5,5.96,11.62,5.75
01 July 2018,,2.78,5.57,4.48,0.57,5.28,3.0096,7.17,7.17,2.96,4.21,1.0174681,3.199126595,10.3691266,6.843623553,5.37,15.73912659,0.6,10.40182477,6.5,5.43,11.09,5.57
01 August 2018,,3,5.63,4.19,0.57,5.573333333,3.1768,7.48,7.48,2.86,4.62,1.0362433,3.198187835,10.67818784,7.047603971,5.18,15.85818784,0.6,10.57183752,6.5,6.2,12.19,5.63
01 September 2018,,3.13,5.89,4.53,0.57,5.65,3.2205,7.32,7.32,3.061,4.259,1.0696365,3.196518175,10.51651818,6.940901995,5.04,15.55651817,0.6,10.38714847,6.5,5.76,11.64,5.89
01 October 2018,,3.17,4.82,4.56,0.57,5.696666667,3.2471,7.7,7.7,3.144,4.556,1.1082074,3.19458963,10.89458963,7.190429156,5.38,16.27458963,0.6,10.82409335,6.5,5.43,10.24,4.82
01 November 2018,,3.1,4.85,4.05,0.57,5.446666667,3.1046,7.66,7.66,2.988,4.672,1.185466,3.1907267,10.8507267,7.161479622,5.76,16.6107267,0.6,10.94117845,6.5,5.35,9.93,4.85
01 December 2018,,2.98,4.59,3.75,0.57,5.186666667,2.9564,7.03,7.03,2.684,4.346,1.3275328,3.18362336,10.21362336,6.740991418,5.68,15.89362336,0.6,10.40204419,6.5,5.09,9.32,4.59
01 January 2019,,3.19,4.15,3.78,0.66,4.753333333,3.1372,6.94,6.94,2.629,4.311,1.4808372,3.17595814,10.11595814,6.676532372,5.96,16.07595814,0.6,10.43630268,6.5,5.35,8.87,4.15
01 February 2019,,2.98,4.15,3.89,0.66,4.53,2.9898,6.76,6.76,2.715,4.045,1.5806941,3.170965295,9.930965295,6.554437095,5.53,15.4609653,0.6,10.11704837,6.5,5.19,9.02,4.15
01 March 2019,,2.84,4.17,4.58,0.66,4.296666667,2.8358,6.73,6.73,2.405,4.325,1.6617123,3.166914385,9.896914385,6.531963494,5.36,15.25691439,0.6,10.02194385,6.5,5.22,8.99,4.17
01 April 2019,,2.7,4.16,4.94,0.66,4.156666667,2.7434,7.28,7.28,2.502,4.778,1.7596349,3.162018255,10.44201826,6.891732048,5.75,16.19201826,0.6,10.61184653,6.5,5.04,8.97,4.16
01 May 2019,,2.67,3.77,4.66,0.66,4.16,2.7456,7.61,7.61,2.125,5.485,1.8370875,3.158145625,10.76814563,7.106976113,5.62,16.38814563,0.6,10.81944392,6.5,4.91,8.47,3.77
